Name,Given Name,Additional Name,Family Name,driver
"10 North Bridge Road, singapore",10,North Bridge Road,#02-5123,6964
"10 woodlands terrace, singapore",,,,depot
"105 hougang avenue 1, singapore",HG 105 AMK,527,Pancake,6964
"107 tampines street 11, singapore",Tpn,107,Boss,6964
"107a clementi street 12, singapore",Clementi 107a Rojak,,Clementi St 12,856
"116 aljunied, singapore",Ajn,116,ROJAK,6964
"118a canberra cres, singapore",Canberra Blk 118A,,,856
"119 aljunied, singapore",Ajn,119,Pancake,6964
"121 paya lebar way, singapore",Paya Lebar,121,#02-2851,6964
"123 bedok north street 2, singapore",Bedok,123,Kueh,6964
"124 lor 1 toa payoh, singapore",TPY,124,rojak,6964
"127 bukit merah lane 1, singapore",Bm 127,Poh,Chew,6964
"13 cantonment road, singapore",Blk 13,Tg,Pagar,6964
"130 choa chu kang, singapore",Cck 130,,,856
"134 jurnog gateway road, singapore",JRE,,134,856
"146 Silat Road, singapore",146 Silat,Rd,Pancake,6964
"152 mei ling street, singapore",mei ling,Street,152,6964
"155 bukit batok street 31, singapore",BB 155,,Pancake (BK) ,856
"156 bukit batok street 31, singapore",BB,156 BK,1,856
"15b Lor Liput, singapore",15b,Lor,Liput,856
"16 bedok south road, singapore",Bedok 16 Hua Kee,Pancake,#01-38,6964
"162 ang mo kio avenue 4, singapore",AMK,162,#01-36,6964
"163 bukit merah central, singapore",BM,163,Rojak,856
"163 gangsaa road, singapore",Gangsa Blk 163 Popiah,,,856
"17 upper boon keng road, singapore",Boon Keng,17,#01-75,6964
"177 toa payoh central, singapore",TPY,177,Malay,6964
"181 Ang Mo Kio Avenue 5, singapore",Amk,,181,856
"19 ghim moh road, singapore",Ghim Moh,19,Rojak,856
"19 marsiling lane, singapore",MCL,,19,856
"2 bukit merah central, singapore",Bm(blk2),,,6964
"2 Jalan Selaseh, singapore",2 Jalan Selaseh,,,856
"20 Ghim Moh Road Market & Food Centre, singapore",Ghim Moh Hawker 01-29,$4.00,5,856
"201b punggol field, singapore",PG,201B,#4-216,856
"202 ang mo kio avenue 3, singapore",AMK,,202,6964
"210 hougang street 21, singapore",Kovan Blk 210,,,856
"210 toa payoh lorong 8, singapore",TPY,210 Ah,Lek,6964
"216 bedok central, singapore",Bedok,216,#01-129,6964
"216 choa chu kang ave 1, singapore",Cck,,216,856
"219 jurong east ave 1, singapore",JRE,219,#12,856
"226D Ang Mo Kio Avenue 1, singapore",Amk,226d,#01-14,856
"22a lorong 7 toa payoh, singapore",Tpy 22a Hai Nan,Small,Bites,6964
"244 tanjong katong road, singapore",T,Katong,224,6964
"253 choa chu kang ave 1, singapore",CCK 253 Daughter,,,856
"254 jurong east st 24, singapore",254,,Jre,856
"26 chai chee road, singapore",chai,chee 26(A),rojak,6964
"261 punggol way, singapore",Punggol 261 Popiah,,,856
"265 bukit batok east, singapore",BB,265,Rojak,856
"266 ang mo kio avenue 8, singapore",AMK,266,Kueh,6964
"266 sengkang west avenue, singapore",SK,266,pancake,6964
"269a queen street, singapore",Bugis,269a Lei,Cha,6964
"27 bendemeer road, singapore",BDM,27,Kuek,6964
"271 bukit batok east ave 4, singapore",Bb,,271,856
"273 Bukit Batok East Avenue 4, singapore",BB273,,Popiah M,856
"276 Bangkit Road, singapore",Bangkit Rd Blk 276,,Powder $9.5,856
"280 bishan street 22, singapore",Bishan,280,Popiah,856
"283 bukit batok east ave 3, singapore",BB,,283,856
"284 bishan street 22, singapore",Bishan,284,Rojak,856
"286 Bukit Batok East Avenue 3, singapore",BB286  pk,,,856
"29 Bedok South Ave2, singapore",29 Bedok,South,Ave2,6964
"29 bendemeer road, singapore",BDM,Market 29 shi jiu,zhi,6964
"29 dover crescent, singapore",Dover28,,,856
"3014 ubi road 1, singapore",Ubi,,3014b,6964
"3016 Bedok North Avenue 4, singapore",107 Boss @ 3016 #04-03,,,856
"312a sumang link, singapore",PG,,312A,856
"325 clementi ave 2, singapore",Clm,325,Rojak,856
"326 ang mo kio ave 3, singapore",Amk,326,#07-1990,856
"329 jurong east ave 1, singapore",JRE,329 PK,#6,856
"334 sembawang close, singapore",Sembawang 334,,,856
"335 china street, singapore",Chinatown,335 Pancake,#02-99,6964
"339 Ang Mo Kio Ave 1, singapore",Amk,,339,856
"347 jurong east avenue 1, singapore",JR,347,#01-185,6964
"350A Anchorvale Rd, singapore",350A Anchorvale Rd,,Oma Muslimah Kitchen,856
"354 clement ave 2, singapore",CLM 354 Chicken Rice,,,856
"356 hougang avenue 7, singapore",HG,,356,6964
"36 Sin Min Road, singapore",Sin Min,Road,36,6964
"371 bukit batok street 31, singapore",Bb 371,Zh,170,856
"376 Bukit Batok Street 31, singapore",BB,376 Mee,Siam,856
"38 tampines street 11, singapore",Tpn,138 Pancake  Round,Market,6964
"4 Cardiff Grove, singapore",4,Cardiff,Grove,6964
"406 pandan gardens, singapore",Pandan Garden,406,#13-40,856
"418 bedok north avenue 2, singapore",Bedok,418,Malay,6964
"421 ang mo kio avenue 10, singapore",Amk 421,Friendly,Vegetarian,6964
"433 clement ave 3, singapore",CLM,,433,856
"443 clementi ave 3, singapore",AnZhen Clm 443 Pamela ,,,856
"449 jurong west street 42, singapore",Jr 449,#03,206,856
"450 clementi ave 3, singapore",CLM 450 Popiah,No,More,856
"453 ang mo kio avenue 1, singapore",AMK,453,#01-09,6964
"47 Daisy Avenue, singapore",47,Daisy,Avenue,856
"475 tampines street 44, singapore",Tpn 475 Chua,Kee,#01-141,6964
"498 jurong west street 41, singapore",JR498,,Rojak,856
"503 jurong west street 52, singapore",Jr 503 Rojak,,,856
"504 bishan street 13, singapore",Bishan,,504,856
"505 Ang Mo Kio Street 53, singapore",Amk,,505,856
"505 jurong west street 52, singapore",JR,505,#01-11,6964
"508 jurong west street 52, singapore",JR,,508Rojak,856
"510 bukit batok st 52, singapore",BB,,510,856
"511 bedok north street 3, singapore",Bedok,,511,856
"511 bishan street 13, singapore",Bishan,,511,856
"530 ang mo kio avenue 10, singapore",AMK 530 Rojak,$4.00,3,6964
"537 bedok north street 3, singapore",Bedok,537 Nonya Kueh,#01-523,6964
"572 hougang street 51, singapore",HG,572,Pancake,856
"58 bedok north street 3, singapore",Bedok,58,#1-140,6964
"61 Telok Blangah, singapore",61 Telok Blangah Pancake,$4.00,5,856
"618 choa chu kang, singapore",CCK 618,,,856
"628 Ang Mo Kio Avenue 4, singapore",AMK,628,æ‚è´§åº—,856
"628 bukit panjang road, singapore",Bukit Panjang 628,,Segar,856
"630 bedok reservoir road, singapore",B Reservoir 630,Granny,Susan,6964
"631 ang mo kio avenue 4, singapore",AMK,,631,6964
"631 hougang ave 8, singapore",HG 631,,,856
"632 ang mo kio ave 4, singapore",Amk,,632,856
"640 Bukit Batok Central, singapore",BB 640 Popiah,,,856
"677 hougang ave 8, singapore",HG 677,,,856
"678 choa chu kang cres, singapore",Cck 678,,,856
"682 hougang ave 8, singapore",Hougang 682,,MeeSiam åˆåˆ,856
"684 hougang ave 8, singapore",HG,684,Rojak,856
"686c choa chu kang cres, singapore",Cck 686C #18-220,,,856
"7 marsiling drive, singapore",MCL,,7,856
"704 choa chu kang street 53, singapore",Cck,704,#08-66,856
"72 upper aljunied road, singapore",Ajn,,72,6964
"722 clementi west street 2, singapore",Clm 722 Rojak,,,856
"727 ang mo kio avenue 6, singapore",AMK,727 Pancake,King,6964
"76 Newton Circus, singapore",76,Newton,Circus,6964
"77 bedok north road, singapore",Bedok,77,#11-204,6964
"802 tampines avenue 4, singapore",Tpn,802,Rojak,6964
"815 jurong west street 81, singapore",JRW,,815,856
"82 lorong 2 toa payoh, singapore",TPY,93 Market yi kou,fu,6964
"823 tampines street 81, singapore",Rojak,823,Tpn,6964
"823a tampines street 81, singapore",Tpn,823a Pancake,#9b,6964
"844 tampines street 82, singapore",Tpn,844,Malay,6964
"848 Yishun Street 81, singapore",848ç‚’ç±³ç²‰,,ys,856
"85 bedok north street 4, singapore",BEDOK,85 ROJAK,#01-56,6964
"89 circuit road, singapore",Circuit,Road 89,#01-127,6964
"90 Whampoa drive, singapore",90,Whampoa Satay Beehoon,#01-74,6964
"909 hougang street 91, singapore",HG,909,#11-102,856
"91 whampoa drive, singapore",whampoa,91,malay,6964
"923 hougang street 91, singapore",Hg,,923,856
"94 lorong 4 toa payoh, singapore",TPY,94 coffeeshop,Rojak,6964
"abc brickworks, singapore",Abc Hawker Centre,Vegetarian,#01-114,6964
"adam road food centre, singapore",Adam,Road,#13,6964
"Beauty World Centre, singapore",Beauty,World Satay Bee,Hoonç¾Žä¸–ç•Œä¸­,856
"bedok food centre, singapore",Bedok,Corner,#15,6964
"Beo Crescent Market, singapore",Beo,,Crescent,856
"Biomedical Grove, singapore",Biomedical,Grove,Kathy,856
"Blk 58 Strathmore Ave, singapore",Blk 58 Strathmore Ave,,,856
"chinatown point new bridge road, singapore",Jasmin Chinatown Point Katong Laksa,,,6964
"chomp chomp food centre, singapore",ChompChomp Rojak,,#01-23,856
"east coast lagoon food village, singapore",ECP,#58,Noni,6964
"empress market, singapore",FarrerèŠ±æ‹‰è·¯,,Road,856
"food xchange @ admiralty, singapore",Food Xchange ,,#07-29,856
"Ghim Moh Road, 20 Ghim Moh Road Market & Food Centre, singapore",Ghim,Moh,Vietnamese,6964
"hwa chong institution, singapore",Hwa Chong High Mr Roger,,,856
"Institute of Mental Health, singapore",HG,IMH,Malay,856
"Jayz Snack, singapore",Jayz Snack,,,856
"Joo Chiat Road, Thunder Tea Rice, singapore",Joo Chiat,Thunder,Tea,6964
"junction 9 shopping mall, singapore",Junction,,9,856
"jurong point shopping centre, singapore",JR,,Pointå°,856
"Kallang Avenue, Victoria Wholesale Centre, singapore",Fang Song,Hang,#01-12,6964
"lorong 16 geylang, singapore",Geylang,Lor,16,6964
"marsiling mall, singapore",Marsiling Mall Beehoon,,,856
"MOHAMMAD HABIB & SONS PTE LTD, singapore",Onan,,,6964
"newton food centre, singapore",Newton Circle Stall,76,$8,856
"ng teng fong hospital, singapore",Ng Teng,FengçŽ‹é¡¶å³°åŒ»é™¢,Hospital,856
"oh guan lee, singapore",Hu Yuan Li,ï¼ƒ01-21,GST,6964
"old airport road food centre, singapore",Old,Airport,Satay,6964
"Pereira road, singapore",Pereira,,road,6964
"Qaseh Kitchen, singapore",Qaseh Kitchen,,,856
"queensway shopping centre, singapore",Queensway Shopping Centre #01-59 $4,Ahå¥³çš‡é•‡,Suan,856
"sembawang hills food centre, singapore",SBW,Hill Food,Centre,856
"The Clementi mall, singapore",Clementi Mall,,,856
"tiong bahru food centre, singapore",Tbl,Billy,#02-71,6964
